SamplingArea,CoverCode,Area_cm2,Wet_Weight_g,Dry_Weight_g,LMA_gm2,LWC_%,OldCode,ImageFile
UC,LatLan,38.4668,0.78,0.2031,52.79877713,74,,UC_LatLan-LMA.jpg
UC,LigPor,45.8709,0.84,0.2595,56.5718135,69.1,,UC_LigPor-LMA.jpg
UC,LinLew,31.6005,0.55,0.1425,45.09422319,74.1,,UC_LinLew-LMA.jpg
UC,OsmOcc,80.2463,1.18,0.3302,41.14831463,72,,UC_OsmOcc-LMA.jpg
UC,PedGro,25.6594,0.93,0.1851,72.13730641,80.1,,UC_PedGro-LMA.jpg
UC,PoaSec,20.9131,0.6,0.191,91.33031449,68.2,UnkD,UC_PoaSec-LMA.jpg
UC,PsyLep,167.4014,6.19,1.5457,92.3349506,75,CalLep,UC_PsyLep-LMA.jpg
UC,PyrCro,69.9567,1.87,0.5318,76.01845141,71.6,UnkF?,UC_PyrCro-LMA.jpg
UC,RumDen,258.927,16.14,2.1189,81.83387596,86.9,RumDes,UC_RumDen-LMA.jpg
UC,SenTri,148.0888,4.97,0.8576,57.91119923,82.7,UnkG?,UC_SenTri-LMA.jpg
UC,SolSpp,51.8166,1.13,0.3112,60.0579737,72.5,"SolSp, UnkB",UC_SolSpp-LMA.jpg
UC,ThaFen,58.3801,0.78,0.2655,45.47782549,66,,UC_ThaFen-LMA.jpg
UC,TolInt,58.4965,2.61,0.286,48.89181404,89,RhoInt,UC_TolInt-LMA.jpg
UC,VacCes,26.1397,0.36,0.1293,49.46499003,64.1,VacCae,UC_VacCes-LMA.jpg
UC,ValEdu,77.2104,2.96,0.5716,74.03147762,80.7,,UC_ValEdu-LMA.jpg
UC,VerTen,260.3943,7.54,1.4212,54.57876766,81.2,VerCal,UC_VerTen-LMA.jpg
WGU,BroIne,75.5058,0.98,0.3008,39.8379992,69.3,UnkH,WGU_BroIne-LMA.jpg
WGU,CorCas,92.3392,3.39,0.4766,51.61404907,85.9,,WGU_CorCas-LMA.jpg
WGU,DelBar,182.0758,4.74,1.0408,57.16300574,78,,WGU_DelBar-LMA.jpg
WGU,EriSpe,86.1073,1.58,0.3847,44.67681602,75.7,,WGU_EriSpe-LMA.jpg
WGU,EucEng,172.5459,2.79,0.7584,43.95352193,72.8,UnkA,WGU_EucEng-LMA.jpg
WGU,FesIda,27.6714,0.46,0.1404,50.73830742,69.5,UnkI,WGU_FesIda-LMA.jpg
WGU,HelMul,97.3933,2.28,0.5436,55.81492772,76.2,,WGU_HelMul-LMA.jpg
WGU,HelQui,269.7175,10.34,2.1247,78.7750146,79.5,,WGU_HelQui-LMA.jpg
WGU,HerMax,320.5735,7.42,1.6011,49.94486444,78.4,,WGU_HerMax-LMA.jpg
WGU,LatLan,122.0967,2.22,0.5591,45.7915734,74.8,,WGU_LatLan-LMA.jpg
WGU,LigPor,103.6062,2.13,0.4634,44.72705301,78.2,,WGU_LigPor-LMA.jpg
WGU,LupBak,86.5786,2.5,0.511,59.0215134,79.6,,WGU_LupBak-LMA.jpg
WGU,MerCil,167.9817,2.95,0.6842,40.73062721,76.8,,WGU_MerCil-LMA.jpg
WGU,OsmOcc,129.9177,2.32,0.5876,45.2286332,74.7,,WGU_OsmOcc-LMA.jpg
WGU,PoaSec,6.7001,0.13,0.0466,69.55120073,64.2,UnkJ,WGU_PoaSec-LMA.jpg
WGU,PotPul,125.8936,3.3,1.1086,88.05848748,66.4,,WGU_PotPul-LMA.jpg
WGU,ThaFen,119.5454,2.03,0.5201,43.50648373,74.4,,WGU_ThaFen-LMA.jpg
WGU,VerTen,292.5468,6.38,1.3228,45.21669695,79.3,VerCal,WGU_VerTen-LMA.jpg
RCK,AcoRos,81.5359,2.28,0.6202,76.06465373,72.8,GeuRos,RCK_AcoRos-LMA.jpg
RCK,AneNar,99.6338,3.76,0.7552,75.7975707,79.9,AneNor,RCK_AneNar-LMA.jpg
RCK,ArnPar,NA,2.85,0.5334,NA,81.3,,BadScan
RCK,CasRhe,68.6392,1.55,0.3123,45.49878204,79.9,,RCK_CasRhe-LMA.jpg
RCK,DesCes,19.8014,0.52,0.1404,70.90407749,73,,RCK_DesCes-LMA.jpg
RCK,DugHoo,155.3669,5.9,1.027,66.10159564,82.6,HymHoo,RCK_DugHoo-LMA.jpg
RCK,EryGra,127.3292,5.07,0.8197,64.37643526,83.8,EriGra,RCK_EryGra-LMA.jpg
RCK,MerCil,189.8584,3.82,0.6867,36.16906073,82,,RCK_MerCil-LMA.jpg
RCK,PsyLep,236.4242,10.41,1.8644,78.85825563,82.1,CalLep,RCK_PsyLep-LMA.jpg
RCK,SenCra,118.3183,3.9,0.6169,52.13901822,84.2,,RCK_SenCra-LMA.jpg
RCK,SenTri,148.306,3.68,0.6332,42.69550794,82.8,,RCK_SenTri-LMA.jpg
RCK,SibPro,30.5433,0.58,0.1603,52.48286858,72.4,,RCK_SibPro-LMA.jpg
RCK,TolInt,100.6589,4.27,0.492,48.87794323,88.5,RhoInt,RCK_TolInt-LMA.jpg
RCK,TolInt,54.7781,2.28,0.268,48.9246615,88.2,RhoRos,RCK_TolInt-LMA.jpg
RCK,VacCes,70.7471,0.99,0.3285,46.43299867,66.8,VacCae,RCK_VacCes-LMA.jpg
RCK,ValEdu,128.3794,5.36,0.848,66.05421119,84.2,,RCK_ValEdu-LMA.jpg
RCK,VerTen,267.5016,7.31,1.2767,47.72681733,82.5,VerCal,RCK_VerTen-LMA.jpg
PG,AgaUrt,181.1834,3.17,0.904,49.89419561,71.5,,PG_AgaUrt-LMA.jpg
PG,ArtDra,54.5044,1.25,0.3668,67.29731912,70.7,,PG_ArtDra-LMA.jpg
PG,DelBar,129.7419,3.19,0.7197,55.47167106,77.4,,PG_DelBar-LMA.jpg
PG,EriSpe,120.6144,2.21,0.7203,59.7192375,67.4,,PG_EriSpe-LMA.jpg
PG,HelMul,80.3027,1.75,0.517,64.38139689,70.5,,PG_HelMul-LMA.jpg
PG,HetVil,49.214,0.88,0.2735,55.57361726,68.9,,PG_HetVil-LMA.jpg
PG,DugHoo,183.5165,8.26,1.5345,83.61645956,81.4,HymHoo,PG_DugHoo-LMA.jpg
PG,LatLan,97.5386,1.96,0.4928,50.52358758,74.9,,PG_LatLan-LMA.jpg
PG,LigPor,156.6851,3.52,0.8784,56.06148894,75,,PG_LigPor-LMA.jpg
PG,OsmOcc,215.3781,3.34,0.8041,37.33434365,75.9,,PG_OsmOcc-LMA.jpg
PG,PotPul,114.8244,3.28,1.0608,92.38454545,67.7,,PG_PotPul-LMA.jpg
PG,SenSer,123.7777,3.6,0.8152,65.86000548,77.4,,PG_SenSer-LMA.jpg
PG,PoaCom,33.8038,0.61,0.2521,74.57741437,58.7,UnkA,PG_PoaCom-LMA.jpg
PG,VacCes,85.8693,1.03,0.4116,47.9333126,60,VacCae,PG_VacCes-LMA.jpg
PG,SymSpp,134.2569,2.58,0.8214,61.18121303,68.2,"SymSp, UnkB",PG_SymSpp-LMA.jpg
PG,VerTen,296.5481,7.82,1.6554,55.82231011,78.8,VerCal,PG_VerTen-LMA.jpg
MtC,AneMul,153.8903,4.9,0.9209,59.84132853,81.2,AneSpp,MtC_AneMul-LMA.jpg
MtC,ArnMol,123.9334,4.25,0.9177,74.04783537,78.4,,MtC_ArnMol-LMA.jpg
MtC,BroIne,NA,0.98,0.3211,NA,67.2,Gram1,NA
MtC,CarSpp,44.8708,0.86,0.2761,61.5322214,67.9,"CarSp, CarexSpp2",MtC_CarSpp-LMA.jpg
MtC,DesCes,17.9694,0.33,0.105,58.43266887,68.2,,MtC_DesCes-LMA.jpg
MtC,EryGra,136.0838,4.86,0.8112,59.61032834,83.3,,MtC_EryGra-LMA.jpg
MtC,GerRic,101.5581,2.73,0.7444,73.29794472,72.7,,MtC_GerRic-LMA.jpg
MtC,HetVil,37.5414,0.76,0.1815,48.34662533,76.1,,MtC_HetVil-LMA.jpg
MtC,JunArc,16.9672,0.8,0.2183,128.6600028,72.7,JunArt,MtC_JunArc-LMA.jpg
MtC,LigPor,194.3767,6.23,1.062,54.6361781,83,,MtC_LigPor-LMA.jpg
MtC,LupArg,87.1081,2.58,0.5436,62.40521834,78.9,,MtC_LupArg-LMA.jpg
MtC,MerLan,183.4539,3.86,0.7773,42.37031756,79.9,,MtC_MerLan-LMA.jpg
MtC,PoaLep,19.5156,0.38,0.1417,72.6085798,62.7,,MtC_PoaLep-LMA.jpg
MtC,PsyLep,271.9643,11.65,2.1772,80.05462482,81.3,CalLep,MtC_PsyLep-LMA.jpg
MtC,SenCra,164.9383,5.53,1.0167,61.6412319,81.6,,MtC_SenCra-LMA.jpg
MtC,TolInt,118.343,4.84,0.5209,44.01612263,89.2,RhoInt,MtC_TolInt-LMA.jpg
MtC,VacCes,71.5083,1.07,0.3882,54.2874044,63.7,VacCae,MtC_VacCes-LMA.jpg
US,AquCoe,142.6794,3.08,0.8521,59.72130525,72.3,AgnCae,US_AquCoe-LMA.jpg
US,ArnMol,97.2536,2.79,0.6382,65.62224946,77.1,,US_ArnMol-LMA.jpg
US,EriSpe,31.2174,0.49,0.1297,41.54734219,73.5,,US_EriSpe-LMA.jpg
US,FraSpe,278.2119,21.04,3.9703,142.7077706,81.1,,US_FraSpe-LMA.jpg
US,GalBor,27.9585,0.45,0.1102,39.41556235,75.5,GalBar,US_GalBor-LMA.jpg
US,GerRic,126.4691,3.99,0.9963,78.77813632,75,,US_GerRic-LMA.jpg
US,DugHoo,126.3557,5.25,1.1236,88.92357052,78.6,HymHoo,US_DugHoo-LMA.jpg
US,LatLan,111.0859,1.68,0.5104,45.94642524,69.6,,US_LatLan-LMA.jpg
US,LigPor,158.2258,4.39,1.0385,65.63404957,76.3,,US_LigPor-LMA.jpg
US,LupBak,102.191,2.67,0.5524,54.05564091,79.3,,US_LupBak-LMA.jpg
US,MerCil,256.4008,4.47,0.9728,37.94059925,78.2,,US_MerCil-LMA.jpg
US,OsmOcc,116.507,2.29,0.5044,43.29353601,78,,US_OsmOcc-LMA.jpg
US,PotPul,92.9608,2.48,0.8675,93.31890431,65,,US_PotPul-LMA.jpg
US,PseMon,64.1531,1.64,0.3774,58.82802234,77,,US_PseMon-LMA.jpg
US,SenSer,72.3977,2.05,0.3999,55.23656138,80.5,,US_SenSer-LMA.jpg
US,ThaFen,97.8543,1.48,0.4567,46.67142885,69.1,,US_ThaFen-LMA.jpg
US,CarHoo,39.7601,0.65,0.2361,59.38113838,63.7,,US_CarHoo-LMA.jpg
US,ElyLan,156.5688,2.59,0.776,49.56287587,70,,US_ElyLan-LMA.jpg
US,CarMic,71.3378,1.29,0.4565,63.99132017,64.6,UnkC,US_CarMic-LMA.jpg
US,VacCes,46.8199,0.72,0.2844,60.74340184,60.5,VacCae,US_VacCes-LMA.jpg
US,VerTen,236.7426,5.53,1.235,52.16636127,77.7,VerCal,US_VerTen-LMA.jpg
US,HerMax,263.698,5.18,1.5096,57.24730563,70.9,,US_HerMax-LMA.jpg
US,Gooseberry,83.8402,1.42,0.5046,60.2,64.5,"RibMon, 427-LMA.jpg ",US_Gooseberry-LMA_1.jpg
US,Gooseberry,160.6534,2.5,0.9069,56.5,63.7,"RibMon, 433-LMA",US_Gooseberry-LMA_2.jpg
US,Raspberry,118.537,1.76,0.677,57.1,61.5,"RubIda, 428-LMA.jpg",US_Raspberry-LMA.jpg
